Vendor,Award Count,Total Amount,Market Share Pct
THE MITRE CORPORATION,65,8456581747.10,38.60
OKINAWA IDEMITSU K.K.,196,2384637916.87,10.89
"GLAXOSMITHKLINE, LLC",9,1935272115.45,8.83
BAE SYSTEMS GCS INTERNATIONAL LIMITED,310,979182213.03,4.47
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,39,926111482.35,4.23
CONTRACK WATTS INC,14,366419439.97,1.67
"MAERSK LINE, LIMITED",14,363037555.85,1.66
MARTIN-BAKER AIRCRAFT COMPANY LIMITED,104,355224998.81,1.62
CALLAN MARINE LIMITED,7,345665388.49,1.58
"ADVANCED ALLIANT SOLUTIONS TEAM, LIMITED PARTNERSHIP",9,273811337.83,1.25
ADVANCED ELECTRONICS COMPANY LIMITED,6,231512195.59,1.06
"SUMMIT TECHNOLOGIES, INC.",114,200622150.52,0.92
BP SINGAPORE PTE. LIMITED,6,159492062.12,0.73
"ARSERVICES, LIMITED",12,149668630.00,0.68
"SUMITOMO HEAVY INDUSTRIES, LTD",277,132847365.40,0.61
QATEX LIMITED,2,131697484.64,0.60
KNDS DEFENCE UK LIMITED,24,128933057.02,0.59
"HORIZON INDUSTRIES, LIMITED",15,127085170.82,0.58
BAE SYSTEMS SURFACE SHIPS LIMITED,3,106138520.56,0.48
COMMIT ENTERPRISES INC,7,105196399.49,0.48
"GIDEON CONTRACTING, LIMITED LIABILITY COMPANY",26,104426660.52,0.48
MITCHELL BROTHERS INC,10,90648311.85,0.41
"JOINT VENTURE OF CUH2A SMITH CARTER HEMISPHERE, THE",1,90047858.80,0.41
G D ARAB LIMITED COMPANY,2,89558628.50,0.41
"SUMMIT TECHNICAL SOLUTIONS, LLC",12,87916340.81,0.40
MISSION SYSTEMS WIMBORNE LIMITED,31,85978278.40,0.39
SMITHS DETECTION INC.,22,82745499.91,0.38
HIGH NOON UNLIMITED INC,4,78150287.06,0.36
RLF AND SHERLOCK SMITH AND ADAMS JV,15,70802075.30,0.32
CDM FEDERAL PROGRAMS CORPORATION,69,70146140.66,0.32
HAMBLE AEROSTRUCTURES LIMITED,3,68487082.00,0.31
"COLLINS ELBIT VISION SYSTEMS, LLC",52,68114024.90,0.31
"CHALLENGE UNLIMITED, INC.",41,67264362.50,0.31
BAE SYSTEMS AUSTRALIA LIMITED,8,64905378.54,0.30
RAM-SYSTEM GMBH,11,63635603.10,0.29
RAYTHEON SYSTEMS LIMITED,21,61618693.56,0.28
POND-CDM SMITH JV LP,16,59875926.11,0.27
PEARSON ENGINEERING LIMITED,3,53551600.39,0.24
MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,39,50613238.25,0.23
"AUSTAL USA, LLC",18,50176164.36,0.23
UTM LIMITED,5,45438549.00,0.21
ABV ROCK GROUP COMPANY LIMITED,3,45202320.01,0.21
NES PACIFIC LIMITED LIABILITY CO.,3,44928234.02,0.21
"TCOM, L.P.",5,44643911.31,0.20
PACIFIC UNLIMITED INC,623,43710220.04,0.20
APPDDICTIONSTUDIO LIMITED LIABILITY COMPANY,48,42154549.75,0.19
"MITOMO CO., LTD.",43,40225223.54,0.18
"SMIT SALVAGE AMERICAS, LLC",18,39663488.66,0.18
UNITHAI SHIPYARD & ENGINEERING LIMITED - BRANCH,9,39308471.72,0.18
ARMITAGE SAI JV,13,38143510.64,0.17
AHTNA-CDM SMITH JV,10,37999569.60,0.17
DONGKUK STRUCTURES & CONSTRUCTION COMPANY LIMITED,27,36658101.75,0.17
RMC 2021 LLC,12,36250798.49,0.17
ROLLS-ROYCE PLC,72,35900524.26,0.16
FNI COWI & CDM SMITH JV,2,34798091.54,0.16
LION-VALLEN LIMITED PARTNERSHIP,3,34314339.03,0.16
EMTA INSAAT TAAHHUT VE TICARET ANONIM SIRKETI,43,32811674.35,0.15
GIDEON CONTRACTING LLC,10,32145976.01,0.15
SENSORS UNLIMITED INC,12,32066888.41,0.15
"EXCEL GARMENT MANUFACTURING, LIMITED",26,31185939.44,0.14
SEQIRUS USA INC,6,30889372.50,0.14
RED STAR ENTERPRISES LIMITED FZCO,1,29900000.00,0.14
"CACI AZURE SUMMIT TECHNOLOGY, LLC",27,28356837.22,0.13
"SUMMIT2SEA CONSULTING, LLC",2,27387022.29,0.13
IDEAL AEROSMITH INC,6,26725575.00,0.12
GLASGOW PRESTWICK AIRPORT LIMITED,902,26667872.48,0.12
AIR NEW ZEALAND LIMITED,12,25829777.73,0.12
AFRICA AUTOMOTIVE DISTRIBUTION SERVICES LIMITED,10,24889697.35,0.11
URS-SMITHGROUP JOINT VENTURE,1,24669352.00,0.11
SUMMIT TECHNOLOGIES INC,4,23613662.49,0.11
"STRATEGIC TECHNOLOGIES ANALYTICS GROUP, LIMITED LIABILITY COMPANY",1,23600641.00,0.11
"EAGLE INDUSTRIES UNLIMITED, LLC",1,23564800.00,0.11
TATONDUK OUTFITTERS LIMITED,20,23512595.45,0.11
EXXONMOBIL MARINE LIMITED,323,23306376.81,0.11
Y HATA & COMPANY LIMITED,747,22527936.00,0.10
SUMMIT AVIATION INC,2,21632958.05,0.10
BP OIL INTERNATIONAL LIMITED,7,21293634.00,0.10
CONSORZIO CONTINENTAL SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,17,20887262.23,0.10
"SUMMIT CONSTRUCTION, INC.",7,20013441.43,0.09
MITCHCO INTERNATIONAL INC,1,19754069.88,0.09
AML GLOBAL LIMITED,944,19483632.33,0.09
FORT SMITH REGIONAL AIRPORT,1,18997313.01,0.09
COMPASS CONTRACT SERVICES (U.K.) LIMITED,21,18445120.66,0.08
PALUMBO SHIPYARD LIMITED,1,18007870.17,0.08
R2C LIMITED LIABILITY COMPANY,11,17983284.40,0.08
CO.PEL. SOCIETA' A RESPONSABILITA' LIMITATA,9,17681024.12,0.08
HESCO BASTION LIMITED,19,16912482.58,0.08
MITOMO MARUTAKA JV,36,16672819.54,0.08
TEK PRECISION CO LIMITED,67,16669261.68,0.08
ACROW GLOBAL LIMITED,5,16385917.74,0.07
"MITSUBISHI HEAVY INDUSTRIES, LTD",6,15303703.60,0.07
PAE KOREA LIMITED,4,15032339.70,0.07
ARMITAGE ARCHITECTURE INC.,19,14927017.49,0.07
STERIPACK USA LIMITED LLC,1,14640000.00,0.07
CPS BUILDING SERVICES LIMITED,31,14633462.96,0.07
SET DIS TICARET SANAYI PETROL TASIMACILIK ATIK TESISLERI BILISIM VE INSAAT LIMITED SIRKETI,38,14565193.12,0.07
