Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
W56KGU23F0006,THE MITRE CORPORATION,735300741.32,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,3.300
W56KGU22F0017,THE MITRE CORPORATION,687294528.14,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,3.060
W56KGU21F0008,THE MITRE CORPORATION,617946797.46,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,2.713
W56KGU20F0009,THE MITRE CORPORATION,583464964.25,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,2.541
W56KGU19F0004,THE MITRE CORPORATION,572597272.49,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,2.487
0001,THE MITRE CORPORATION,552072435.06,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,2.384
W5170123C0177,"MORE COWBELL UNLIMITED, INC",149529.24,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.376
FA520922P0211,PRIMODIA CHEMICALS AND PHARMACEUTICALS PRIVATE LIMITED,113945.17,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.376
FA520922P0206,PRIMODIA CHEMICALS AND PHARMACEUTICALS PRIVATE LIMITED,99969.63,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.376
FA864923P0589,BIONIC LIFT LLC,74244.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.376
FA865621C0038,COMMIT TECHNOLOGIES INC,48000.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.376
N6600119F0932,TECHNOLOGY UNLIMITED GROUP,408615.44,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
SP470123C0064,RMC 2021 LLC,253407.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
W912HQ22P0026,CDM FEDERAL PROGRAMS CORPORATION,250000.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
W912HZ23C0066,HR WALLINGFORD LIMITED,241658.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
N6833524C0135,"CACI AZURE SUMMIT TECHNOLOGY, LLC",239509.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
N6833522C0461,"CACI AZURE SUMMIT TECHNOLOGY, LLC",238607.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.375
N0001419C2056,SEEBYTE LIMITED,579891.74,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.374
W912HQ20C0054,CDM FEDERAL PROGRAMS CORPORATION,556613.00,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",75306197.90,1380941.00,199993032.34,-0.374
