Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
W58P0522C0002,"GLAXOSMITHKLINE, LLC",1597461996.00,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,2.783
SPE2DP23F5834,"GLAXOSMITHKLINE, LLC",39375.00,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.384
W901UZ23F0052,"GLAXOSMITHKLINE, LLC",35896.80,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.384
W912L723F0017,"GLAXOSMITHKLINE, LLC",29768.10,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.384
SPE2DP23F5837,"GLAXOSMITHKLINE, LLC",24438.75,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.384
SPE2DP23V1682,"MR UNLIMITED, LLC",12791.65,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.384
SPE2DP23F5833,"GLAXOSMITHKLINE, LLC",541800.00,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.383
SPE2DP23F5835,"GLAXOSMITHKLINE, LLC",157500.00,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.383
SPE2DP23F5832,"GLAXOSMITHKLINE, LLC",1389150.00,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,-0.381
W15QKN20C0048,"GLAXOSMITHKLINE, LLC",335592190.80,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,193528490.71,98437.50,504422269.38,0.282
