Award ID,Recipient,Amount,Extent Competed,Offers Received,Set Aside Type
70FA6018F00000033,"STARR II, A JOINT VENTURE",44395021.14,A,1,
70FA6018F00000034,"COMPASS PTS JV, THE",42995466.59,A,1,
70FA6019F00000036,"COMPASS PTS JV, THE",41516894.77,A,1,
HSFE0217F0019,"MACRO COMPANIES, INC.",38511732.12,A,1,
70FA6019F00000037,"STARR II, A JOINT VENTURE",33606548.75,A,1,
70FA6019F00000038,"STARR II, A JOINT VENTURE",27857728.42,A,1,
70FA5020F00000111,"CACI NSS, LLC",26630873.63,A,1,
70FB7020F00000104,"LONGHORN VACCINES AND DIAGNOSTICS, LLC",25011049.55,D,1,
HSFHEQ09J0001,EMERGENCY RESPONSE PROGRAM MANAGEMENT CONSULTANTS,24151073.04,CDO,1,NONE
70FA6019F00000035,"COMPASS PTS JV, THE",24037763.74,A,1,
HSFE8013J0001,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,21222771.45,A,1,
HSFE3016F0232,CARAHSOFT TECHNOLOGY CORP,20933351.12,A,1,
HSFE2013F0073,"OBSIDIAN ANALYSIS, LLC",18931807.86,A,1,SBA
70FA2020C00000005,"UNIFIRE, INC.",17243600,A,1,NONE
70FA6020F00000018,"STARR II, A JOINT VENTURE",16503503.82,A,1,
70FA2020C00000004,ORSA TECHNOLOGIES LLC,16480000,A,1,NONE
HSFE3015J0198,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,16288055.04,A,1,
70FBR920F00000071,GWWH A JOINT VENTURE,15358552.32,A,1,
70FBTX18F00000014,"LANGUAGE LINE, LLC",14839827.05,A,1,
HSFE3016J0641,CAMBRIDGE INTERNATIONAL SYSTEMS INC.,14394692.55,A,1,SBA
HSFE5017F0044,BOOZ ALLEN HAMILTON INC,14317301.43,A,1,
70FA3018F00000778,RITENET CORP.,13045905.71,A,1,
70FA5020P00000071,OPTICAL TECHNOLOGIES INC.,12875000,A,1,NONE
HSFE3017J0060,GLOBAL TECH INC.,12734777.73,A,1,
70FB7020F00000069,"SO-PAK-CO, INC",12504002.4,A,1,
HSFE3015J0332,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,12299355.45,A,1,
HSFE6014F0035,H2O PARTNERS INC,12231814.77,A,1,SBA
70FA3018F00000457,WESTWIND TEAM LLP,11548944.58,D,1,
HSFE3017F0227,GUIDEHOUSE INC.,11439004.75,A,1,
70FBR220F00000170,"STARR II, A JOINT VENTURE",11145135.92,A,1,
70FA3019F00000356,GLOBAL TECH INC.,11009289.38,A,1,
70FA3021F00000036,ATT MOBILITY LLC,10740248.61,A,1,
70FA6020F00000014,"COMPASS PTS JV, THE",10658511.36,A,1,
HSFE3017F0202,"DIGITAL SYSTEMS GROUP, INC",10398388.69,A,1,
70FB7020F00000113,FILLAKIT LLC,10160000,D,1,
70FB7021F00000002,WELLNESS COACHES USA LLC,10071010,F,1,NONE
70FB7020F00000103,REMEL INC.,9993704.5,D,1,
70FA3018F00000318,"CONSTELLATION SOFTWARE ENGINEERING, LLC",9890489.64,A,1,
70FA3020F00000064,ATT MOBILITY LLC,9887925.85,A,1,
70FA6018F00000006,"COMPASS PTS JV, THE",9624426.24,A,1,
70FA4019F00000120,"IDENTITY THEFT GUARD SOLUTIONS, INC.",8896469.1,A,1,
HSFEHQ11J0019,EMERGENCY RESPONSE PROGRAM MANAGEMENT CONSULTANTS,8818008.18,A,1,
HSFE0817J0004,"COMPASS PTS JV, THE",8457580.5,A,1,
70FB7020F00000185,"SO-PAK-CO, INC",8355604,A,1,
70FA3019F00000101,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,7699813.18,D,1,
70FA5018F00000014,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",7307799.62,A,1,
70FB7020P00000043,FAIRFIELD CHAIR COMPANY,6720000,A,1,NONE
70FB7018F00000151,"JTG, INC.",6588084.37,A,1,
