Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
70FA3020F00000611,GUIDEHOUSE DIGITAL LLC,148624034.45,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,9.286
HSFE3015J0361,AMBIT GROUP LLC,37103589.99,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,2.067
70FA3018F00000343,"ENTERPRISE RESOURCE PLANNED SYSTEMS INTERNATIONAL, LLC",19505848.28,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.928
70FA3020F00000659,"WASHINGTON BUSINESS DYNAMICS, LLC",12942682.85,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.503
HSFE3017J0060,GLOBAL TECH INC.,12734777.73,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.490
70FA3019F00000356,GLOBAL TECH INC.,11009289.38,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.378
70FA3019F00000729,VISIONARY INTEGRATION PROFESSIONALS LLC,2212.50,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.335
70FA4020P00000029,SATCOM SOLUTION AND RESOURCES LLC,33349.00,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.333
70FBR320F00000049,AXXUM TECHNOLOGIES LLC,24131.57,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.333
HSFE2013J0259,"ECS FEDERAL, LLC",59865.10,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.331
70FBR719C00000001,AVANT ACOUSTICS LLC,54949.00,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.331
70FBR721F00000002,AXXUM TECHNOLOGIES LLC,137081.87,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.326
