Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
70FB7020F00000080,"PARKDALE ADVANCED MATERIALS, INC.",532157710.52,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,10.532
70FB7020F00000079,HANESBRANDS INC.,175000000.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,3.356
70FA2020F00000025,MEDEA INC,43681249.30,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.718
70FB7020F00000081,STANDARD TEXTILE CO INC,41940000.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.683
70FB7020F00000093,MILLIKEN & COMPANY,27375768.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.390
70FB7020C00000016,BURLINGTON INDUSTRIES LLC,20635996.50,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.255
70FA2020C00000005,"UNIFIRE, INC.",17243600.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.186
70FA2020C00000004,ORSA TECHNOLOGIES LLC,16480000.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,0.171
70FBR720P00000035,PROMIER PRODUCTS INC.,23133.60,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR720P00000011,"DIGITAL DOLPHIN PRODUCTS, LLC",22800.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR620P00000053,"MOBISUPPLY, LLC",21580.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
HSFE4017F0012,"AMERICAN PURCHASING SERVICES, LLC",21502.50,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR720P00000025,RS HUGHES CO INC,21040.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FB7020F00000136,CENTRAL PARK MEDICAL PRACTICE P.C.,18175.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FB7018F00000144,MERCY MEDICAL EQUIPMENT COMPANY,16481.87,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
HSFE7017J0124,"RCG OF NORTH CAROLINA, LLC",16043.62,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR520P00000024,CREATIVE RESOURCES AGENCY LLC,15878.70,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR920P00000030,"ENGINEERING/REMEDIATION RESOURCES GROUP, INC.",13203.92,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FB7020F00000137,"EAST COAST MEDICAL, LLC",13061.85,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR220F00000112,BOUND TREE MEDICAL LLC,11244.03,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR720P00000024,WRIGGLESWORTH ENTERPRISES INC,10060.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR120P00000011,"AIRBOSS DEFENSE GROUP, LLC",9927.76,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR820P00000026,"THE FRENCH CORNER CATERING, INC",4215.33,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
HSFE4017F0066,"AMERICAN PURCHASING SERVICES, LLC",3845.30,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
HSFE7016J0249,"RCG OF NORTH CAROLINA, LLC",3209.46,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR420P00000056,TEAM PHUN LLC,3209.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR220F00000120,"NAR MEDICAL DEPOT, LLC",2111.50,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR420P00000055,"DENTAL PRODUCTS AND SERVICE, INC.",266.44,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR520P00000021,WISECOM TECHNOLOGIES INC,0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR320P00000014,"FEDERAL GOVERNMENT EXPERTS, LLC",0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR220P00000045,MICHIGAN EXPEDITED LOGISTICS LLC,0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR220F00000094,"GLADIUS WPTB, LLC",0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR120P00000033,AMERICAN CONSOLIDATED PARTNERS INC.,0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
70FBR120P00000032,"GARNER GLOBAL SOLUTIONS, LLC",0.00,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",7965733.46,187200.00,49771454.89,-0.160
