Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
HSFE6015C0007,RESILIENCE ACTION PARTNERS,148873735.01,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,17.233
70FBR220F00000005,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,63220125.99,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,7.151
HSFEEM11C0039,"CABEZON GROUP, INC",53010327.39,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,5.949
70FBR719F00000034,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,34078639.73,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,3.720
70FBR220F00000092,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,33692599.26,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,3.675
70FBR420F00000124,"FLUOR ENTERPRISES, INC.",31709494.99,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,3.442
70FBR419F00000158,"FLUOR ENTERPRISES, INC.",28540232.75,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,3.069
HSFE2012C0372,"OBSIDIAN ANALYSIS, LLC",26825821.70,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.867
70FBR420F00000102,"FLUOR ENTERPRISES, INC.",26471143.71,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.825
70FBR219F00000044,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,26244688.84,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.798
70FB8019F00000045,"FLUOR ENTERPRISES, INC.",25970470.84,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.766
HSFE2012C0359,"LEIDOS, INC.",24273234.33,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.566
70FBR219F00000058,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,24030185.38,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.538
70FBR719F00000039,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,22880113.49,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.402
HSFEEM11F0228,"ICF INCORPORATED, L.L.C.",21976932.34,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.296
70FBR519F00000066,SERCO INC,20197128.43,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,2.086
70FBR220F00000001,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,19018656.41,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,1.948
HSFE2013F0073,"OBSIDIAN ANALYSIS, LLC",18931807.86,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,1.938
70FBR221F00000178,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,18582401.50,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2471199.95,311369.33,8495683.76,1.896
